traffic_density,horn_events_per_min,avg_speed,signal_wait_time,weather_condition,road_quality_score,driver_experience_level,stress_index,Risk_Level,Insurance_Premium
56,6.67,64.26,30.55,Foggy,6.75,Beginner,38.53,Medium,5000
44,0.28,57.21,28.78,Clear,9.28,Expert,19.81,Low,3000
87,12.29,46.67,47.44,Clear,8.99,Expert,37.01,Medium,5000
90,10.67,43.67,46.87,Clear,8.09,Intermediate,54.85,Medium,5000
45,8.65,58.82,30.08,Clear,5.3,Beginner,43.3,Medium,5000
59,8.15,60.95,36.9,Hot,8.25,Intermediate,35.33,Medium,5000
113,11.86,36.57,61.21,Clear,5.67,Intermediate,62.98,Medium,5000
13,2.68,78.15,12.81,Clear,8.69,Intermediate,23.41,Low,3000
11,0.45,75.44,6.72,Rainy,6.61,Expert,28.38,Low,3000
15,5.96,77.45,6.96,Clear,6.72,Intermediate,22.65,Low,3000
63,6.07,56.07,29.73,Foggy,8.21,Beginner,46.4,Medium,5000
115,11.56,34.44,64.01,Hot,10.0,Beginner,68.36,High,8000
13,0.65,68.98,11.54,Clear,7.93,Beginner,20.11,Low,3000
63,5.97,51.53,29.94,Clear,10.0,Expert,35.95,Medium,5000
102,11.93,37.67,58.07,Clear,5.3,Intermediate,64.38,Medium,5000
72,12.88,52.68,42.15,Clear,6.01,Intermediate,54.65,Medium,5000
27,1.95,66.44,21.32,Clear,6.55,Intermediate,28.01,Low,3000
99,14.88,43.67,52.93,Clear,5.97,Intermediate,58.51,Medium,5000
53,7.57,62.48,34.35,Foggy,8.69,Expert,27.69,Low,3000
43,4.76,66.14,25.35,Clear,5.89,Beginner,41.61,Medium,5000
83,8.76,59.88,51.61,Clear,5.87,Beginner,66.88,High,8000
71,9.29,46.23,40.06,Clear,4.19,Beginner,69.77,High,8000
109,15.86,32.65,61.63,Rainy,6.98,Expert,48.42,Medium,5000
23,3.39,71.24,21.09,Clear,9.25,Beginner,30.95,Low,3000
104,11.98,26.88,53.28,Clear,8.14,Expert,44.42,Medium,5000
57,5.57,58.65,33.91,Clear,10.0,Beginner,49.42,Medium,5000
24,2.19,61.52,14.12,Clear,9.19,Intermediate,26.05,Low,3000
81,4.12,39.18,45.92,Clear,9.28,Beginner,54.19,Medium,5000
87,9.76,46.33,53.57,Hot,10.0,Expert,31.27,Low,3000
96,15.09,41.22,48.85,Foggy,8.28,Beginner,63.07,Medium,5000
71,12.21,47.61,38.24,Rainy,4.66,Expert,42.61,Medium,5000
49,5.84,58.62,27.08,Foggy,8.23,Beginner,38.09,Medium,5000
94,8.91,42.26,53.42,Rainy,8.04,Intermediate,49.95,Medium,5000
89,14.7,40.4,48.63,Foggy,6.64,Beginner,68.69,High,8000
118,14.0,39.6,69.12,Clear,5.52,Beginner,81.25,High,8000
91,12.16,42.27,49.3,Rainy,8.33,Intermediate,49.99,Medium,5000
62,5.53,55.39,41.43,Clear,6.59,Beginner,39.0,Medium,5000
33,2.75,65.35,20.32,Clear,6.28,Intermediate,30.33,Low,3000
35,1.16,62.74,20.08,Clear,10.0,Intermediate,24.95,Low,3000
98,11.94,40.55,58.97,Rainy,9.69,Intermediate,51.68,Medium,5000
69,6.83,54.33,39.33,Clear,4.12,Intermediate,53.85,Medium,5000
118,13.3,32.52,61.25,Rainy,10.0,Intermediate,56.05,Medium,5000
50,4.28,58.09,34.62,Rainy,7.58,Expert,35.13,Medium,5000
38,2.84,66.67,21.53,Clear,8.56,Beginner,40.29,Medium,5000
24,4.49,70.14,16.53,Clear,9.09,Beginner,26.6,Low,3000
54,4.77,67.16,34.38,Clear,9.56,Intermediate,28.2,Low,3000
74,10.63,45.76,38.96,Clear,8.87,Intermediate,35.8,Medium,5000
98,12.92,43.28,53.41,Rainy,5.67,Intermediate,54.3,Medium,5000
80,16.79,53.43,42.44,Rainy,8.29,Expert,40.85,Medium,5000
18,1.71,71.44,12.02,Clear,9.19,Intermediate,17.62,Low,3000
97,11.94,44.9,53.79,Foggy,9.51,Intermediate,46.89,Medium,5000
10,6.09,77.27,8.18,Foggy,4.97,Intermediate,13.97,Low,3000
117,11.47,43.3,59.34,Clear,8.63,Beginner,81.23,High,8000
17,0.0,76.07,17.39,Rainy,8.87,Expert,13.87,Low,3000
97,10.05,33.75,54.52,Clear,5.49,Intermediate,64.64,Medium,5000
72,8.25,54.18,42.07,Rainy,8.37,Intermediate,37.13,Medium,5000
20,0.0,73.77,13.93,Clear,6.6,Intermediate,21.39,Low,3000
90,13.84,49.71,58.59,Rainy,5.82,Intermediate,61.47,Medium,5000
17,6.56,78.79,9.99,Clear,5.28,Beginner,26.72,Low,3000
44,4.29,61.29,27.85,Hot,6.51,Beginner,41.8,Medium,5000
44,6.04,59.12,27.35,Clear,8.6,Beginner,40.91,Medium,5000
42,10.33,74.78,26.99,Clear,2.26,Intermediate,40.05,Medium,5000
14,3.54,77.05,9.87,Clear,4.63,Expert,21.62,Low,3000
115,20.94,38.15,66.05,Foggy,6.04,Intermediate,66.94,High,8000
112,11.22,34.38,62.41,Rainy,9.38,Intermediate,47.97,Medium,5000
50,6.52,61.9,27.68,Hot,6.86,Intermediate,33.55,Low,3000
37,4.86,62.61,23.63,Foggy,9.55,Beginner,32.64,Low,3000
16,4.33,70.07,11.1,Rainy,6.17,Beginner,35.29,Medium,5000
82,12.15,47.12,48.08,Clear,3.93,Intermediate,63.35,Medium,5000
81,12.28,44.23,42.85,Clear,4.16,Beginner,69.11,High,8000
21,3.42,69.02,12.54,Hot,5.86,Intermediate,23.12,Low,3000
43,7.78,63.38,25.55,Hot,3.75,Expert,36.12,Medium,5000
42,4.48,61.05,23.31,Clear,7.2,Beginner,32.98,Low,3000
57,7.0,65.85,34.78,Rainy,10.0,Beginner,37.42,Medium,5000
32,5.56,67.38,21.32,Rainy,4.34,Intermediate,32.2,Low,3000
71,8.3,55.61,37.88,Rainy,8.6,Beginner,48.54,Medium,5000
97,8.9,37.58,50.7,Foggy,9.92,Intermediate,49.82,Medium,5000
46,5.68,63.33,32.08,Clear,6.2,Intermediate,36.98,Medium,5000
108,14.08,32.23,56.74,Foggy,6.46,Beginner,73.37,High,8000
53,9.99,53.81,31.13,Clear,4.46,Intermediate,35.69,Medium,5000
113,15.06,31.27,60.56,Clear,4.3,Intermediate,77.03,High,8000
95,12.78,34.69,57.27,Clear,7.39,Intermediate,60.27,Medium,5000
100,16.95,47.48,53.7,Rainy,10.0,Intermediate,52.5,Medium,5000
44,3.0,62.96,23.57,Rainy,5.87,Expert,26.96,Low,3000
74,10.73,57.99,41.88,Rainy,8.26,Expert,36.02,Medium,5000
108,17.05,31.95,65.07,Rainy,5.16,Expert,57.58,Medium,5000
110,15.28,37.71,66.27,Rainy,5.72,Beginner,78.17,High,8000
56,8.51,62.21,36.68,Clear,4.91,Intermediate,54.87,Medium,5000
87,11.01,46.43,51.16,Hot,5.53,Intermediate,70.46,High,8000
12,0.0,70.39,18.67,Clear,7.23,Intermediate,18.89,Low,3000
10,3.87,69.75,10.66,Rainy,3.61,Intermediate,38.09,Medium,5000
14,0.92,72.22,10.7,Clear,6.74,Intermediate,25.45,Low,3000
99,12.66,36.11,56.19,Clear,2.77,Intermediate,72.6,High,8000
23,6.87,76.97,16.89,Clear,6.04,Intermediate,38.7,Medium,5000
112,18.7,33.42,61.2,Hot,4.52,Intermediate,67.55,High,8000
36,2.31,64.4,22.61,Clear,9.82,Intermediate,31.87,Low,3000
18,0.0,73.12,16.1,Clear,7.37,Beginner,33.7,Low,3000
88,13.06,45.83,46.81,Foggy,6.59,Expert,43.18,Medium,5000
24,3.37,70.21,18.42,Clear,4.23,Beginner,36.14,Medium,5000
99,15.12,36.03,49.63,Foggy,6.92,Beginner,65.78,High,8000
51,9.34,63.17,31.73,Foggy,6.43,Intermediate,35.55,Medium,5000
86,15.34,49.48,46.41,Rainy,7.47,Intermediate,54.39,Medium,5000
60,4.1,54.09,33.79,Clear,6.54,Intermediate,38.32,Medium,5000
72,8.1,52.77,41.44,Clear,5.44,Expert,39.38,Medium,5000
105,13.98,33.16,58.58,Clear,6.95,Expert,58.21,Medium,5000
112,14.6,44.73,62.22,Clear,4.05,Beginner,86.85,High,8000
61,12.49,60.51,33.53,Clear,1.44,Beginner,61.2,Medium,5000
105,17.87,41.79,57.61,Foggy,5.11,Intermediate,66.96,High,8000
13,4.25,75.89,11.53,Rainy,4.14,Expert,27.16,Low,3000
103,13.42,37.89,56.38,Clear,9.32,Beginner,64.42,Medium,5000
110,12.17,31.26,57.95,Clear,9.54,Expert,54.19,Medium,5000
32,4.23,65.1,19.73,Rainy,8.42,Beginner,36.68,Medium,5000
112,12.3,32.85,62.22,Clear,6.74,Intermediate,66.23,High,8000
118,16.1,29.57,61.93,Foggy,4.97,Beginner,83.9,High,8000
24,3.33,73.74,19.29,Clear,6.92,Beginner,22.34,Low,3000
52,17.0,58.81,29.64,Foggy,5.05,Intermediate,37.61,Medium,5000
38,7.29,65.4,21.61,Rainy,5.41,Intermediate,32.2,Low,3000
45,5.77,59.07,31.49,Hot,5.38,Expert,30.36,Low,3000
22,0.6,68.89,15.1,Clear,8.65,Expert,26.38,Low,3000
41,1.14,63.71,23.18,Clear,6.37,Intermediate,38.53,Medium,5000
80,15.38,46.57,47.08,Rainy,1.78,Intermediate,69.34,High,8000
68,12.81,64.57,36.62,Hot,5.27,Intermediate,50.54,Medium,5000
95,12.79,42.8,55.62,Rainy,6.71,Beginner,68.24,High,8000
37,7.21,67.31,22.36,Rainy,7.23,Intermediate,31.16,Low,3000
75,11.08,50.71,42.77,Clear,3.92,Intermediate,47.96,Medium,5000
51,7.53,56.95,30.93,Clear,8.25,Expert,30.28,Low,3000
54,4.02,48.37,30.19,Clear,8.99,Expert,26.94,Low,3000
71,10.66,41.4,39.57,Rainy,7.81,Beginner,50.43,Medium,5000
66,8.66,59.86,41.31,Clear,7.08,Intermediate,46.81,Medium,5000
15,1.33,75.61,14.73,Clear,8.06,Beginner,19.77,Low,3000
37,4.34,63.79,24.96,Rainy,7.75,Intermediate,30.54,Low,3000
37,5.2,81.27,14.29,Hot,5.05,Intermediate,38.15,Medium,5000
117,12.25,41.2,62.64,Rainy,8.93,Intermediate,65.27,High,8000
53,9.01,52.17,36.23,Rainy,9.18,Intermediate,31.95,Low,3000
93,10.74,43.04,44.07,Hot,3.49,Expert,42.66,Medium,5000
39,7.12,61.27,26.1,Clear,4.01,Intermediate,40.94,Medium,5000
71,9.89,57.78,40.95,Clear,7.46,Intermediate,47.99,Medium,5000
84,12.65,49.4,41.43,Rainy,7.61,Beginner,60.22,Medium,5000
101,8.98,41.93,59.14,Clear,8.79,Expert,41.86,Medium,5000
98,12.47,44.02,51.84,Clear,8.85,Intermediate,50.95,Medium,5000
112,11.81,34.23,53.82,Clear,8.04,Intermediate,59.51,Medium,5000
71,11.29,45.05,40.8,Rainy,6.88,Expert,41.04,Medium,5000
106,12.04,41.73,58.28,Clear,5.1,Intermediate,66.65,High,8000
10,0.7,79.25,8.7,Clear,8.79,Intermediate,18.02,Low,3000
36,3.73,66.0,21.68,Clear,8.36,Intermediate,26.1,Low,3000
71,8.91,48.8,41.9,Clear,8.83,Intermediate,46.97,Medium,5000
86,9.1,45.46,42.57,Hot,4.42,Beginner,71.54,High,8000
114,9.19,24.98,63.92,Hot,9.28,Intermediate,72.29,High,8000
12,2.48,76.77,7.27,Foggy,9.16,Beginner,14.35,Low,3000
112,17.3,39.1,64.58,Hot,5.1,Intermediate,71.29,High,8000
79,5.98,47.32,43.6,Clear,7.39,Beginner,66.07,High,8000
81,11.05,41.93,48.95,Foggy,7.89,Expert,37.58,Medium,5000
36,6.95,68.04,14.8,Clear,8.88,Beginner,35.33,Medium,5000
18,5.48,71.79,13.81,Rainy,6.65,Intermediate,28.35,Low,3000
71,7.95,48.74,39.02,Clear,6.45,Intermediate,46.31,Medium,5000
46,10.67,61.97,26.63,Foggy,6.94,Intermediate,39.57,Medium,5000
106,11.94,38.16,57.98,Clear,5.12,Intermediate,56.29,Medium,5000
60,7.61,59.04,34.49,Clear,7.04,Expert,31.62,Low,3000
115,16.22,33.1,61.39,Foggy,8.07,Expert,49.72,Medium,5000
53,5.13,58.16,35.15,Rainy,8.29,Beginner,39.5,Medium,5000
33,6.01,72.53,15.39,Rainy,6.45,Intermediate,31.86,Low,3000
88,10.88,43.51,53.37,Rainy,8.32,Intermediate,46.62,Medium,5000
68,3.07,51.89,41.23,Clear,7.35,Expert,39.0,Medium,5000
41,6.8,60.8,26.04,Rainy,7.04,Beginner,40.49,Medium,5000
105,10.82,40.69,60.24,Clear,10.0,Beginner,69.41,High,8000
97,11.0,45.78,54.45,Foggy,7.55,Beginner,60.02,Medium,5000
114,16.89,32.52,68.34,Rainy,6.74,Intermediate,61.33,Medium,5000
61,10.07,53.92,31.24,Hot,7.29,Beginner,43.31,Medium,5000
71,10.09,55.28,40.19,Clear,7.03,Intermediate,50.6,Medium,5000
67,10.55,51.02,37.02,Clear,6.59,Expert,40.03,Medium,5000
61,7.08,59.23,41.2,Clear,8.43,Expert,34.07,Low,3000
21,3.33,74.29,15.78,Clear,7.2,Intermediate,28.16,Low,3000
48,5.45,68.33,30.95,Clear,9.12,Expert,24.53,Low,3000
11,5.4,86.14,16.27,Foggy,6.73,Beginner,25.37,Low,3000
12,5.41,68.75,11.76,Clear,10.0,Intermediate,13.98,Low,3000
110,14.41,44.57,61.69,Rainy,6.98,Intermediate,70.0,High,8000
65,11.96,51.95,38.51,Clear,7.09,Intermediate,39.62,Medium,5000
90,9.82,43.72,48.65,Clear,5.97,Intermediate,53.92,Medium,5000
68,10.84,54.25,41.19,Rainy,7.71,Expert,34.1,Low,3000
11,3.02,77.34,15.71,Foggy,10.0,Beginner,10.61,Low,3000
11,5.23,71.28,12.74,Clear,7.11,Intermediate,25.36,Low,3000
101,10.16,39.02,55.02,Clear,8.65,Beginner,58.82,Medium,5000
63,6.7,58.42,37.99,Clear,6.64,Expert,27.49,Low,3000
96,17.75,50.55,52.94,Foggy,2.06,Beginner,76.37,High,8000
110,12.01,35.65,62.64,Rainy,10.0,Beginner,66.37,High,8000
105,11.46,38.69,58.01,Hot,8.04,Intermediate,60.45,Medium,5000
106,9.92,40.34,57.31,Clear,10.0,Beginner,60.35,Medium,5000
10,1.64,70.49,14.26,Hot,7.26,Beginner,24.68,Low,3000
28,5.57,75.76,18.39,Foggy,6.64,Expert,11.08,Low,3000
11,0.77,74.65,7.89,Foggy,6.97,Intermediate,25.55,Low,3000
62,4.41,62.19,38.62,Clear,8.42,Beginner,43.35,Medium,5000
53,6.77,50.6,34.36,Rainy,6.65,Intermediate,37.83,Medium,5000
99,16.53,44.48,55.92,Rainy,6.12,Intermediate,59.72,Medium,5000
41,8.98,52.93,28.32,Rainy,5.52,Intermediate,42.33,Medium,5000
79,6.66,45.43,42.61,Clear,7.07,Expert,41.5,Medium,5000
41,9.46,61.43,25.62,Rainy,8.85,Intermediate,34.78,Low,3000
77,9.73,45.97,36.9,Hot,7.67,Intermediate,51.12,Medium,5000
64,9.48,53.43,41.93,Rainy,7.36,Beginner,44.27,Medium,5000
84,10.2,46.5,48.68,Rainy,6.79,Intermediate,52.67,Medium,5000
65,11.46,56.2,31.21,Rainy,4.97,Expert,36.82,Medium,5000
26,4.19,65.34,24.5,Rainy,7.88,Beginner,32.24,Low,3000
47,4.38,64.71,26.25,Clear,5.78,Beginner,34.85,Low,3000
33,3.05,66.76,23.08,Clear,7.41,Intermediate,33.77,Low,3000
78,13.07,51.16,47.68,Foggy,9.47,Intermediate,42.07,Medium,5000
107,11.38,42.35,54.67,Clear,6.56,Intermediate,64.73,Medium,5000
79,12.92,56.98,46.06,Foggy,5.08,Expert,51.89,Medium,5000
95,12.77,42.68,53.1,Foggy,8.26,Intermediate,51.75,Medium,5000
20,6.14,75.48,16.84,Rainy,8.15,Beginner,17.44,Low,3000
25,4.78,75.18,17.83,Hot,5.22,Beginner,31.24,Low,3000
106,12.0,37.58,59.28,Clear,5.23,Expert,61.97,Medium,5000
82,13.75,49.11,45.28,Clear,7.82,Expert,48.32,Medium,5000
68,11.89,51.56,37.29,Clear,9.2,Intermediate,41.68,Medium,5000
79,9.16,56.73,45.74,Hot,8.35,Intermediate,43.86,Medium,5000
89,10.16,44.55,49.54,Hot,5.99,Expert,47.04,Medium,5000
102,7.27,42.5,50.57,Clear,9.85,Intermediate,55.74,Medium,5000
12,0.72,77.3,10.89,Clear,6.16,Beginner,24.6,Low,3000
29,3.08,65.44,19.8,Clear,9.41,Intermediate,26.57,Low,3000
68,13.63,45.66,42.6,Rainy,9.51,Intermediate,47.24,Medium,5000
45,1.28,61.47,27.31,Rainy,8.4,Beginner,44.47,Medium,5000
28,5.61,64.84,16.64,Rainy,5.52,Intermediate,31.14,Low,3000
99,13.66,38.57,55.17,Foggy,9.47,Beginner,58.62,Medium,5000
76,8.97,55.63,43.11,Rainy,10.0,Intermediate,45.49,Medium,5000
28,3.27,72.93,19.3,Clear,9.42,Beginner,22.92,Low,3000
29,4.19,70.32,17.46,Clear,4.92,Intermediate,35.03,Medium,5000
105,18.78,37.2,55.09,Foggy,4.6,Intermediate,73.67,High,8000
80,10.23,45.34,44.53,Rainy,7.89,Intermediate,51.67,Medium,5000
61,8.55,48.98,30.65,Clear,4.65,Intermediate,42.66,Medium,5000
114,14.81,34.86,57.78,Clear,7.43,Beginner,76.59,High,8000
42,6.75,64.99,16.79,Foggy,6.97,Expert,34.23,Low,3000
49,8.43,58.62,31.57,Clear,5.41,Intermediate,50.01,Medium,5000
48,8.25,57.6,27.46,Rainy,8.81,Beginner,43.85,Medium,5000
91,12.33,53.53,53.4,Rainy,5.15,Beginner,74.03,High,8000
113,10.75,40.53,61.86,Clear,8.51,Intermediate,58.51,Medium,5000
10,2.66,76.31,7.34,Rainy,6.75,Expert,25.68,Low,3000
20,6.18,71.25,14.99,Clear,7.1,Expert,17.0,Low,3000
101,10.6,34.63,51.86,Clear,6.81,Intermediate,47.84,Medium,5000
66,8.43,47.02,36.11,Clear,6.85,Expert,38.87,Medium,5000
98,10.38,47.57,51.1,Rainy,10.0,Intermediate,53.11,Medium,5000
59,12.51,66.54,35.29,Foggy,2.8,Beginner,62.58,Medium,5000
32,3.09,67.54,18.8,Clear,9.81,Intermediate,18.7,Low,3000
40,8.19,57.42,21.37,Foggy,2.93,Beginner,53.84,Medium,5000
103,8.87,44.67,55.22,Clear,9.23,Beginner,68.24,High,8000
51,8.26,65.97,28.43,Rainy,6.78,Intermediate,37.77,Medium,5000
108,14.79,37.87,58.8,Rainy,8.09,Beginner,71.15,High,8000
16,7.01,71.37,11.53,Rainy,6.68,Intermediate,31.33,Low,3000
25,4.43,63.06,18.52,Clear,6.85,Beginner,37.64,Medium,5000
99,15.41,33.65,50.29,Clear,7.18,Beginner,65.09,High,8000
69,11.06,46.58,45.41,Clear,7.43,Intermediate,47.35,Medium,5000
11,2.89,70.2,10.39,Clear,5.54,Expert,18.32,Low,3000
10,2.28,75.13,5.2,Foggy,4.46,Beginner,35.61,Medium,5000
57,7.78,54.46,32.01,Clear,1.71,Intermediate,48.31,Medium,5000
21,4.68,77.82,15.16,Clear,6.93,Expert,20.12,Low,3000
78,3.43,55.29,41.27,Clear,10.0,Beginner,59.34,Medium,5000
46,7.27,56.6,30.98,Rainy,3.65,Beginner,54.36,Medium,5000
41,3.28,59.96,25.03,Foggy,10.0,Intermediate,28.21,Low,3000
18,5.6,72.44,8.48,Clear,7.49,Beginner,23.84,Low,3000
114,12.45,29.02,61.01,Clear,6.95,Beginner,79.09,High,8000
108,11.11,44.07,58.68,Foggy,8.41,Beginner,65.27,High,8000
28,7.78,66.58,17.9,Clear,6.45,Beginner,36.99,Medium,5000
57,11.73,57.87,30.26,Rainy,5.67,Intermediate,48.5,Medium,5000
89,11.73,46.13,49.55,Foggy,3.93,Intermediate,52.2,Medium,5000
12,3.72,73.87,8.45,Clear,6.99,Expert,10.29,Low,3000
29,6.59,67.61,19.85,Clear,6.62,Expert,25.07,Low,3000
33,4.37,70.74,19.8,Clear,6.31,Beginner,35.7,Medium,5000
63,10.36,43.63,37.64,Foggy,8.87,Intermediate,36.25,Medium,5000
42,4.07,63.84,23.83,Rainy,6.34,Expert,24.63,Low,3000
33,1.89,70.42,26.76,Clear,8.65,Intermediate,26.62,Low,3000
84,13.28,35.33,46.17,Clear,4.43,Expert,46.17,Medium,5000
81,3.91,56.17,42.43,Rainy,8.97,Expert,33.53,Low,3000
45,2.61,61.7,27.62,Clear,9.59,Beginner,28.14,Low,3000
47,4.74,57.79,34.59,Clear,7.12,Expert,24.77,Low,3000
113,19.6,42.84,62.87,Rainy,7.08,Intermediate,58.15,Medium,5000
93,15.24,38.95,46.33,Rainy,8.55,Intermediate,51.98,Medium,5000
108,13.15,38.01,64.76,Clear,8.15,Intermediate,58.57,Medium,5000
98,11.01,43.4,50.01,Clear,6.03,Intermediate,66.47,High,8000
108,12.42,38.53,60.58,Foggy,7.27,Expert,55.27,Medium,5000
34,0.77,74.2,21.38,Clear,10.0,Intermediate,25.33,Low,3000
102,14.44,38.37,51.72,Rainy,5.93,Beginner,65.62,High,8000
27,4.31,59.24,15.85,Rainy,8.13,Intermediate,25.86,Low,3000
119,13.74,30.81,67.42,Clear,8.0,Intermediate,72.89,High,8000
91,13.77,37.68,47.88,Rainy,7.18,Intermediate,55.27,Medium,5000
75,11.92,45.12,42.4,Clear,9.44,Beginner,55.06,Medium,5000
63,6.64,61.88,39.22,Rainy,10.0,Beginner,37.95,Medium,5000
44,10.0,67.26,29.42,Rainy,10.0,Intermediate,31.23,Low,3000
89,11.63,42.97,49.22,Foggy,8.7,Beginner,69.77,High,8000
70,8.04,50.93,42.56,Rainy,9.79,Intermediate,49.23,Medium,5000
50,6.81,60.3,29.3,Clear,4.94,Beginner,57.27,Medium,5000
109,13.59,36.14,54.95,Clear,3.63,Intermediate,70.67,High,8000
42,10.11,61.44,24.81,Clear,1.71,Expert,32.81,Low,3000
77,10.23,43.57,44.15,Hot,5.94,Expert,43.28,Medium,5000
